Name,Street Address,USPS ZIP,lat,lng,outbound_duration,outbound_distance_meters,outbound_condition,outbound_status,return_duration,return_distance_meters,return_condition,return_status
Mint Mark,1874 E Washington Ave,53704,43.0922541,-89.3608978,2059s,7107,ROUTE_EXISTS,{},2404s,10935,ROUTE_EXISTS,{}
Lola's Hi/Lo Lounge  ,"617 N Sherman Ave,",53704,43.1077417,-89.3633626,1460s,5015,ROUTE_EXISTS,{},1543s,4908,ROUTE_EXISTS,{}
Bar CoralliniI ,"2004 Atwood Ave,",53704,43.0922713,-89.354486,3999s,16582,ROUTE_EXISTS,{},2507s,7231,ROUTE_EXISTS,{}
"Beef Butter BBQ 3001 N Sherman Ave, Madison, WI 53704",3001 N Sherman Ave,53704,43.1297103,-89.3627449,1301s,2565,ROUTE_EXISTS,{},1011s,3373,ROUTE_EXISTS,{}
Bierock,2911 N Sherman Ave,53704,43.1285624,-89.3609795,1385s,2656,ROUTE_EXISTS,{},1085s,3468,ROUTE_EXISTS,{}
Alchemy Cafe , 1980 Atwood Ave,53704,43.0924417,-89.3553889,2485s,7545,ROUTE_EXISTS,{},2467s,7184,ROUTE_EXISTS,{}
Tip Top Tavern,601 North St,53704,43.106971,-89.351084,2179s,5095,ROUTE_EXISTS,{},2371s,5527,ROUTE_EXISTS,{}
Monsoon Siam, 2326 Atwood Ave,53704,43.0937623,-89.3475295,4124s,17344,ROUTE_EXISTS,{},4869s,18100,ROUTE_EXISTS,{}
Ogden's North Street Diner,560 North St,53704,43.1066971,-89.3514023,2144s,5066,ROUTE_EXISTS,{},2333s,5482,ROUTE_EXISTS,{}
"Kingdom Restaurant, 1865 Northport Dr, Madison, WI 53704",1865 Northport Dr,53704,43.1289485,-89.3601812,1418s,2700,ROUTE_EXISTS,{},1093s,3276,ROUTE_EXISTS,{}
